Orthography	Transcription
CRESWELL	k.r.ɛ.s.w.ɛ.l
CRETACEOUS	k.r.ɪ.t.eɪ.ʃ.ɪ.s
CRETCHEN	k.r.ɛ.tʃ.ʌ.n
CRETE	k.r.i.t
CRETELLA	k.r.ɛ.t.ɛ.l.ʌ
CRETIEN	k.r.i.ʃ.j.ʌ.n
CRETIN	k.r.i.t.ʌ.n
CRETSINGER	k.r.ɛ.t.s.ɪ.n.dʒ.ɚ
CREUTZFELDT	k.r.ʊ.t.s.f.ɛ.l.d
CREUTZFELDT(1)	k.r.ʊ.t.s.f.ɛ.l.t
CREVASSE	k.r.ʌ.v.æ.s
CREVELING	k.r.ɛ.v.ʌ.l.ɪ.ŋ
CREVELING(1)	k.r.ɛ.v.l.ɪ.ŋ
CREVICE	k.r.ɛ.v.ʌ.s
CREVICES	k.r.ɛ.v.ʌ.s.ɪ.z
CREVIER	k.r.i.v.i.ɚ
CREVISTON	k.r.ɛ.v.ɪ.s.t.ɑ.n
CREW	k.r.u
CREW'S	k.r.u.z
CREWE	k.r.u
CREWEL	k.r.u.ʌ.l
CREWES	k.r.u.z
CREWMAN	k.r.u.m.ʌ.n
CREWMEN	k.r.u.m.ɪ.n
CREWS	k.r.u.z
CRIB	k.r.ɪ.b
CRIBARI	k.r.i.b.ɑ.r.i
CRIBB	k.r.ɪ.b
CRIBBAGE	k.r.ɪ.b.ʌ.dʒ
CRIBBING	k.r.ɪ.b.ɪ.ŋ
CRIBBS	k.r.ɪ.b.z
CRIBS	k.r.ɪ.b.z
CRICHLOW	k.r.ɪ.k.l.oʊ
CRICHTON	k.r.ɪ.tʃ.t.ʌ.n
CRICK	k.r.ɪ.k
CRICKET	k.r.ɪ.k.ɪ.t
CRICKET'S	k.r.ɪ.k.ɪ.t.s
CRICKETS	k.r.ɪ.k.ɪ.t.s
CRIDDLE	k.r.ɪ.d.ʌ.l
CRIDER	k.r.aɪ.d.ɚ
CRIED	k.r.aɪ.d
CRIER	k.r.aɪ.ɚ
CRIES	k.r.aɪ.z
CRIGER	k.r.aɪ.dʒ.ɚ
CRIGGER	k.r.ɪ.g.ɚ
CRIGLER	k.r.ɪ.g.l.ɚ
CRIHFIELD	k.r.ɪ.f.i.l.d
CRILL	k.r.ɪ.l
CRILLEY	k.r.ɪ.l.i
CRILLY	k.r.ɪ.l.i
CRIM	k.r.ɪ.m
CRIME	k.r.aɪ.m
CRIME'S	k.r.aɪ.m.z
CRIMEA	k.r.aɪ.m.i.ʌ
CRIMEAN	k.r.ɪ.m.i.n
CRIMEAN(1)	k.r.aɪ.m.i.ʌ.n
CRIMES	k.r.aɪ.m.z
CRIMI	k.r.i.m.i
CRIMINAL	k.r.ɪ.m.ʌ.n.ʌ.l
CRIMINAL'S	k.r.ɪ.m.ʌ.n.ʌ.l.z
CRIMINALIST	k.r.ɪ.m.ʌ.n.ʌ.l.ɪ.s.t
CRIMINALIST'S	k.r.ɪ.m.ʌ.n.ʌ.l.ɪ.s.t.s
CRIMINALISTICS	k.r.ɪ.m.ʌ.n.ʌ.l.ɪ.s.t.ɪ.k.s
CRIMINALISTS	k.r.ɪ.m.ʌ.n.ʌ.l.ɪ.s.t.s
CRIMINALITY	k.r.ɪ.m.ʌ.n.æ.l.ɪ.t.i
CRIMINALIZATION	k.r.ɪ.m.ʌ.n.ʌ.l.ʌ.z.eɪ.ʃ.ʌ.n
CRIMINALIZE	k.r.ɪ.m.ʌ.n.ʌ.l.aɪ.z
CRIMINALIZED	k.r.ɪ.m.ʌ.n.ʌ.l.aɪ.z.d
CRIMINALIZING	k.r.ɪ.m.ʌ.n.ʌ.l.aɪ.z.ɪ.ŋ
CRIMINALLY	k.r.ɪ.m.ʌ.n.ʌ.l.i
CRIMINALS	k.r.ɪ.m.ʌ.n.ʌ.l.z
CRIMINALS'	k.r.ɪ.m.ʌ.n.ʌ.l.z
CRIMINOLOGIST	k.r.ɪ.m.ɪ.n.ɑ.l.ʌ.dʒ.ɪ.s.t
CRIMINOLOGISTS	k.r.ɪ.m.ɪ.n.ɑ.l.ʌ.dʒ.ɪ.s.t.s
CRIMINOLOGY	k.r.ɪ.m.ɪ.n.ɑ.l.ʌ.dʒ.i
CRIMM	k.r.ɪ.m
CRIMMINS	k.r.ɪ.m.ɪ.n.z
CRIMP	k.r.ɪ.m.p
CRIMPED	k.r.ɪ.m.p.t
CRIMPING	k.r.ɪ.m.p.ɪ.ŋ
CRIMPS	k.r.ɪ.m.p.s
CRIMSON	k.r.ɪ.m.z.ʌ.n
CRINER	k.r.aɪ.n.ɚ
CRINGE	k.r.ɪ.n.dʒ
CRINGED	k.r.ɪ.n.dʒ.d
CRINGES	k.r.ɪ.n.dʒ.ɪ.z
CRINGING	k.r.ɪ.n.dʒ.ɪ.ŋ
CRIP	k.r.ɪ.p
CRIPE	k.r.aɪ.p
CRIPPEN	k.r.ɪ.p.ʌ.n
CRIPPLE	k.r.ɪ.p.ʌ.l
CRIPPLED	k.r.ɪ.p.ʌ.l.d
CRIPPLES	k.r.ɪ.p.ʌ.l.z
CRIPPLING	k.r.ɪ.p.ʌ.l.ɪ.ŋ
CRIPPLING(1)	k.r.ɪ.p.l.ɪ.ŋ
CRIPPS	k.r.ɪ.p.s
CRIPS	k.r.ɪ.p.s
CRIS	k.r.ɪ.s
CRISAFI	k.r.i.s.ɑ.f.i
CRISAFULLI	k.r.i.s.ɑ.f.u.l.i
CRISANTI	k.r.ɪ.s.æ.n.t.i
CRISCI	k.r.ɪ.s.i
CRISCIONE	k.r.i.s.tʃ.oʊ.n.i
CRISCO	k.r.i.s.k.oʊ
CRISCUOLO	k.r.i.s.k.w.oʊ.l.oʊ
CRISE	k.r.aɪ.z
CRISES	k.r.aɪ.s.i.z
CRISHMAN	k.r.ɪ.ʃ.m.ʌ.n
CRISHMAN'S	k.r.ɪ.ʃ.m.ʌ.n.z
CRISIS	k.r.aɪ.s.ʌ.s
CRISLER	k.r.ɪ.s.ʌ.l.ɚ
CRISLER(1)	k.r.ɪ.s.l.ɚ
CRISLIP	k.r.ɪ.s.l.ɪ.p
CRISMAN	k.r.ɪ.s.m.ʌ.n
CRISMON	k.r.ɪ.z.m.ʌ.n
CRISOSTOMO	k.r.i.s.oʊ.s.t.oʊ.m.oʊ
CRISP	k.r.ɪ.s.p
CRISPELL	k.r.ɪ.s.p.ʌ.l
CRISPEN	k.r.ɪ.s.p.ʌ.n
CRISPER	k.r.ɪ.s.p.ɚ
CRISPIN	k.r.ɪ.s.p.ɪ.n
CRISPINA	k.r.i.s.p.i.n.ʌ
CRISPINO	k.r.i.s.p.i.n.oʊ
CRISPLY	k.r.ɪ.s.p.l.i
CRISPNESS	k.r.ɪ.s.p.n.ʌ.s
CRISPO	k.r.i.s.p.oʊ
CRISPY	k.r.ɪ.s.p.i
CRISS	k.r.ɪ.s
CRISS-CROSS	k.r.ɪ.s.k.r.ɔ.s
CRISS-CROSSED	k.r.ɪ.s.k.r.ɔ.s.t
CRISSCROSS	k.r.ɪ.s.k.r.ɔ.s
CRISSCROSSED	k.r.ɪ.s.k.r.ɔ.s.t
CRISSCROSSING	k.r.ɪ.s.k.r.ɔ.s.ɪ.ŋ
CRISSEY	k.r.ɪ.s.i
CRISSINGER	k.r.ɪ.s.ɪ.n.dʒ.ɚ
CRISSLOW	k.r.ɪ.s.l.oʊ
CRISSMAN	k.r.ɪ.s.m.ʌ.n
CRIST	k.r.ɪ.s.t
CRISTA	k.r.ɪ.s.t.ʌ
CRISTABEL	k.r.ɪ.s.t.ʌ.b.ɛ.l
CRISTAL	k.r.ɪ.s.t.ʌ.l
CRISTIANI	k.r.ɪ.s.t.i.ɑ.n.i
CRISTIANI(1)	k.r.ɪ.s.tʃ.i.ɑ.n.i
CRISTIANI'S	k.r.ɪ.s.t.i.ɑ.n.i.z
CRISTIANI'S(1)	k.r.ɪ.s.tʃ.i.ɑ.n.i.z
CRISTIANO	k.r.i.s.t.i.ɑ.n.oʊ
CRISTINA	k.r.ɪ.s.t.i.n.ʌ
CRISTO	k.r.ɪ.s.t.oʊ
CRISTO'S	k.r.ɪ.s.t.oʊ.z
CRISTOBAL	k.r.ɪ.s.t.ʌ.b.ʌ.l
CRISTOBEL	k.r.ɪ.s.t.ʌ.b.ɛ.l
CRISTOBEL'S	k.r.ɪ.s.t.ʌ.b.ɛ.l.z
CRISWELL	k.r.ɪ.s.w.ɛ.l
CRITCHER	k.r.ɪ.tʃ.ɚ
CRITCHFIELD	k.r.ɪ.tʃ.f.i.l.d
CRITCHLEY	k.r.ɪ.tʃ.l.i
CRITCHLOW	k.r.ɪ.tʃ.l.oʊ
CRITELLI	k.r.ɪ.t.ɛ.l.i
CRITERIA	k.r.aɪ.t.ɪ.r.i.ʌ
CRITERION	k.r.aɪ.t.ɪ.r.i.ʌ.n
CRITES	k.r.aɪ.t.s
CRITIC	k.r.ɪ.t.ɪ.k
CRITIC'S	k.r.ɪ.t.ɪ.k.s
CRITICAL	k.r.ɪ.t.ɪ.k.ʌ.l
CRITICALITY	k.r.ɪ.t.ʌ.k.æ.l.ʌ.t.i
CRITICALLY	k.r.ɪ.t.ɪ.k.ʌ.l.i
CRITICALLY(1)	k.r.ɪ.t.ɪ.k.l.i
CRITICISM	k.r.ɪ.t.ɪ.s.ɪ.z.ʌ.m
CRITICISMS	k.r.ɪ.t.ɪ.s.ɪ.z.ʌ.m.z
CRITICIZE	k.r.ɪ.t.ɪ.s.aɪ.z
CRITICIZED	k.r.ɪ.t.ʌ.s.aɪ.z.d
CRITICIZES	k.r.ɪ.t.ɪ.s.aɪ.z.ɪ.z
CRITICIZING	k.r.ɪ.t.ɪ.s.aɪ.z.ɪ.ŋ
CRITICS	k.r.ɪ.t.ɪ.k.s
CRITICS'	k.r.ɪ.t.ɪ.k.s
CRITIQUE	k.r.ʌ.t.i.k
CRITIQUE(1)	k.r.ɪ.t.i.k
CRITIQUED	k.r.ɪ.t.i.k.t
CRITIQUES	k.r.ɪ.t.i.k.s
CRITIQUING	k.r.ɪ.t.i.k.ɪ.ŋ
CRITON	k.r.aɪ.t.ʌ.n
CRITSER	k.r.ɪ.t.s.ɚ
CRITTENDEN	k.r.ɪ.t.ɛ.n.d.ʌ.n
CRITTENDON	k.r.ɪ.t.ʌ.n.d.ɪ.n
CRITTER	k.r.ɪ.t.ɚ
CRITTERS	k.r.ɪ.t.ɚ.z
CRITZ	k.r.ɪ.t.s
CRITZER	k.r.ɪ.t.z.ɚ
CRIVARO	k.r.ɪ.v.æ.r.oʊ
CRIVELLI	k.r.ɪ.v.ɛ.l.i
CRIVELLO	k.r.ɪ.v.ɛ.l.oʊ
CRIVEN	k.r.ɪ.v.ʌ.n
CRNKOVICH	s.ɚ.n.ʌ.v.ɪ.tʃ
CRO	k.r.oʊ
CROAK	k.r.oʊ.k
CROAKER	k.r.oʊ.k.ɚ
CROAKING	k.r.oʊ.k.ɪ.ŋ
CROAT	k.r.oʊ.ɑ.t
CROAT'S	k.r.oʊ.ɑ.t.s
CROATIA	k.r.oʊ.eɪ.ʃ.ʌ
CROATIA'S	k.r.oʊ.eɪ.ʃ.ʌ.z
CROATIAN	k.r.oʊ.eɪ.ʃ.ʌ.n
CROATIAN'S	k.r.oʊ.eɪ.ʃ.ʌ.n.z
CROATIANS	k.r.oʊ.eɪ.ʃ.ʌ.n.z
CROATIANS'	k.r.oʊ.eɪ.ʃ.ʌ.n.z
CROATS	k.r.oʊ.ɑ.t.s
CROC	k.r.ɑ.k
CROCCO	k.r.ɑ.k.oʊ
CROCE	k.r.oʊ.tʃ.i
CROCHET	k.r.oʊ.ʃ.eɪ
CROCHETED	k.r.oʊ.ʃ.eɪ.d
CROCHETIERE	k.r.oʊ.ʃ.ʌ.t.ɪ.r
CROCHETING	k.r.oʊ.ʃ.eɪ.ɪ.ŋ
CROCK	k.r.ɑ.k
CROCKER	k.r.ɑ.k.ɚ
CROCKER'S	k.r.ɑ.k.ɚ.z
CROCKERY	k.r.ɑ.k.ɚ.i
CROCKETT	k.r.ɑ.k.ɪ.t
CROCKFORD	k.r.ɑ.k.f.ɚ.d
CROCODILE	k.r.ɑ.k.ʌ.d.aɪ.l
CROCODILES	k.r.ɑ.k.ʌ.d.aɪ.l.z
CROCODILIAN	k.r.ɑ.k.ʌ.d.ɪ.l.j.ʌ.n
CROCUS	k.r.oʊ.k.ʌ.s
CROCUSES	k.r.oʊ.k.j.u.s.ɪ.z
CROFF	k.r.ɔ.f
CROFFORD	k.r.ɑ.f.ɚ.d
CROFOOT	k.r.oʊ.f.ʊ.t
CROFT	k.r.ɔ.f.t
CROFTON	k.r.ɑ.f.t.ʌ.n
CROFTS	k.r.ɔ.f.t.s
CROGAN	k.r.oʊ.g.ʌ.n
CROGHAN	k.r.ɑ.g.ʌ.n
CROISSANT	k.w.ɑ.s.ɑ.n.t
CROISSANT(1)	k.r.ʌ.s.ɑ.n.t
CROISSANTS	k.w.ɑ.s.ɑ.n.t.s
CROISSANTS(1)	k.r.ʌ.s.ɑ.n.t.s
CROITZER	k.r.ɔɪ.t.s.ɚ
CROIX	k.r.ɔɪ
CROIX'S	k.r.ɔɪ.z
CROKE	k.r.oʊ.k
CROKER	k.r.oʊ.k.ɚ
CROLEY	k.r.oʊ.l.i
CROLL	k.r.oʊ.l
CROM	k.r.ɑ.m
CROMARTIE	k.r.ɑ.m.ɑ.r.t.i
CROMBIE	k.r.ɑ.m.b.i
CROMER	k.r.oʊ.m.ɚ
CROMER'S	k.r.oʊ.m.ɚ.z
CROMIE	k.r.ɑ.m.i
CROMLEY	k.r.ɑ.m.l.i
CROMPTON	k.r.ɑ.m.p.t.ʌ.n
CROMWELL	k.r.ɑ.m.w.ʌ.l
CROMWELL'S	k.r.ɑ.m.w.ɪ.l.z
CRON	k.r.ɑ.n
CRONAN	k.r.oʊ.n.ʌ.n
CRONAUER	k.r.ɑ.n.aʊ.r
CRONCE	k.r.ɑ.n.s
CRONE	k.r.oʊ.n
CRONEN	k.r.oʊ.n.ʌ.n
CRONER	k.r.oʊ.n.ɚ
CRONEY	k.r.oʊ.n.i
CRONIES	k.r.oʊ.n.i.z
CRONIN	k.r.oʊ.n.ɪ.n
CRONK	k.r.ɑ.ŋ.k
CRONKHITE	k.r.ɑ.ŋ.k.h.aɪ.t
CRONKITE	k.r.ɑ.ŋ.k.aɪ.t
CRONKRIGHT	k.r.ɑ.ŋ.k.r.aɪ.t
CRONQUIST	k.r.ɑ.n.k.w.ɪ.s.t
CRONUS	k.r.oʊ.n.ʌ.s
CRONY	k.r.oʊ.n.i
CRONYISM	k.r.oʊ.n.i.ɪ.z.ʌ.m
CROOK	k.r.ʊ.k
CROOKE	k.r.ʊ.k
CROOKED	k.r.ʊ.k.ʌ.d
CROOKED-LEG	k.r.ʊ.k.ʌ.d.l.ɛ.g
CROOKEDNESS	k.r.ʊ.k.ʌ.d.n.ʌ.s
CROOKER	k.r.ʊ.k.ɚ
CROOKLYN	k.r.ʊ.k.l.ɪ.n
CROOKLYN'S	k.r.ʊ.k.l.ɪ.n.z
CROOKS	k.r.ʊ.k.s
CROOKSHANK	k.r.ʊ.k.ʃ.æ.ŋ.k
CROOKSHANKS	k.r.ʊ.k.ʃ.æ.ŋ.k.s
CROOKSTON	k.r.ʊ.k.s.t.ʌ.n
CROOM	k.r.u.m
CROOMS	k.r.u.m.z
CROON	k.r.u.n
CROONER	k.r.u.n.ɚ
CROONING	k.r.u.n.ɪ.ŋ
CROONS	k.r.u.n.z
CROP	k.r.ɑ.p
CROP'S	k.r.ɑ.p.s
CROPLAND	k.r.ɑ.p.l.æ.n.d
CROPLEY	k.r.ɑ.p.l.i
CROPP	k.r.ɑ.p
CROPPED	k.r.ɑ.p.t
CROPPER	k.r.ɑ.p.ɚ
CROPPING	k.r.ɑ.p.ɪ.ŋ
CROPS	k.r.ɑ.p.s
CROPSEY	k.r.ɑ.p.s.i
CROQUET	k.r.oʊ.k.eɪ
CROS	k.r.ɔ.s
CROSBEY	k.r.ɑ.s.b.i
CROSBIE	k.r.ɔ.z.b.i
CROSBY	k.r.ɔ.z.b.i
CROSBY'S	k.r.ɔ.z.b.i.z
CROSE	k.r.oʊ.z
CROSHAW	k.r.ɑ.ʃ.ɔ
CROSKEY	k.r.ɑ.s.k.i
CROSLAND	k.r.ɑ.s.l.ʌ.n.d
CROSLEY	k.r.ɑ.s.l.i
CROSLIN	k.r.ɑ.s.l.ɪ.n
CROSON	k.r.oʊ.s.ʌ.n
CROSS	k.r.ɔ.s
CROSS'S	k.r.ɔ.s.ɪ.z
CROSS-COUNTRY	k.r.ɔ.s.k.ʌ.n.t.r.i
CROSS-POLLINATE	k.r.ɔ.s.p.ɑ.l.ʌ.n.eɪ.t
CROSS-REFERENCE	k.r.ɔ.s.r.ɛ.f.ɚ.ʌ.n.s
CROSSAN	k.r.ɑ.s.ʌ.n
CROSSBILL	k.r.ɔ.s.b.ɪ.l
CROSSBILLS	k.r.ɔ.s.b.ɪ.l.z
CROSSBONES	k.r.ɔ.s.b.oʊ.n.z
CROSSBORDER	k.r.ɔ.s.b.ɔ.r.d.ɚ
CROSSBOW	k.r.ɔ.s.b.oʊ
CROSSBOWS	k.r.ɔ.s.b.oʊ.z
CROSSCURRENT	k.r.ɔ.s.k.ɚ.ʌ.n.t
CROSSCURRENTS	k.r.ɔ.s.k.ɚ.ʌ.n.t.s
CROSSE	k.r.ɑ.s
CROSSED	k.r.ɔ.s.t
CROSSEN	k.r.ɔ.s.ʌ.n
CROSSER	k.r.ɔ.s.ɚ
CROSSES	k.r.ɔ.s.ɪ.z
CROSSETT	k.r.ɑ.s.ɪ.t
CROSSFIELD	k.r.ɔ.s.f.i.l.d
CROSSFIRE	k.r.ɔ.s.f.aɪ.r
CROSSFIRE(1)	k.r.ɔ.s.f.aɪ.r
CROSSFIRE'S	k.r.ɔ.s.f.aɪ.r.z
CROSSIN	k.r.ɑ.s.ɪ.n
CROSSING	k.r.ɔ.s.ɪ.ŋ
CROSSINGS	k.r.ɔ.s.ɪ.ŋ.z
CROSSLAND	k.r.ɔ.s.l.æ.n.d
CROSSLEY	k.r.ɑ.s.l.i
CROSSLIN	k.r.ɑ.s.l.ɪ.n
CROSSMAN	k.r.ɔ.s.m.ʌ.n
CROSSNINE	k.r.ɔ.s.n.aɪ.n
CROSSNO	k.r.oʊ.s.n.oʊ
CROSSON	k.r.ɑ.s.ʌ.n
CROSSOVER	k.r.ɔ.s.oʊ.v.ɚ
CROSSPIECE	k.r.ɔ.s.p.i.s
CROSSPIECES	k.r.ɔ.s.p.i.s.ʌ.z
CROSSPIECES(1)	k.r.ɔ.s.p.i.s.ɪ.z
CROSSROAD	k.r.ɔ.s.r.oʊ.d
CROSSROADS	k.r.ɔ.s.r.oʊ.d.z
CROSSTALK	k.r.ɔ.s.t.ɔ.k
CROSSTOWN	k.r.ɔ.s.t.aʊ.n
CROSSVILLE	k.r.ɑ.s.v.ɪ.l
CROSSWALK	k.r.ɑ.s.w.ɑ.k
CROSSWALKS	k.r.ɑ.s.w.ɑ.k.s
CROSSWHITE	k.r.ɑ.s.w.aɪ.t
CROSSWISE	k.r.ɔ.s.w.aɪ.z
CROSSWORD	k.r.ɔ.s.w.ɚ.d
CROSSWORDS	k.r.ɔ.s.w.ɚ.d.z
CROSTHWAIT	k.r.ɑ.s.θ.w.ʌ.t
CROSTHWAITE	k.r.ɑ.s.θ.w.ʌ.t
CROSTON	k.r.ɑ.s.t.ʌ.n
CROSWELL	k.r.ɑ.s.w.ɛ.l
CROTCH	k.r.ɑ.tʃ
CROTCHETY	k.r.ɑ.tʃ.ʌ.t.i
CROTEAU	k.r.ʌ.t.oʊ
CROTHERS	k.r.ʌ.ð.ɚ.z
CROTONVILLE	k.r.oʊ.t.ʌ.n.v.ɪ.l
CROTTEAU	k.r.ʌ.t.oʊ
CROTTS	k.r.ɑ.t.s
CROTTY	k.r.ɑ.t.i
CROTWELL	k.r.ɑ.t.w.ɛ.l
CROTZER	k.r.oʊ.t.z.ɚ
CROUCH	k.r.aʊ.tʃ
CROUCHED	k.r.aʊ.tʃ.t
CROUCHER	k.r.aʊ.tʃ.ɚ
CROUCHING	k.r.aʊ.tʃ.ɪ.ŋ
CROUGH	k.r.aʊ
CROUNSE	k.r.aʊ.n.s
CROUP	k.r.u.p
CROUSE	k.r.aʊ.s
CROUSER	k.r.aʊ.s.ɚ
CROUT	k.r.aʊ.t
CROUTHAMEL	k.r.aʊ.θ.ʌ.m.ɛ.l
CROVITZ	k.r.oʊ.v.ɪ.t.s
CROVITZ'S	k.r.oʊ.v.ɪ.t.s.ɪ.z
CROVL	k.r.oʊ.v.ʌ.l
CROVLS	k.r.oʊ.v.ʌ.l.z
CROW	k.r.oʊ
CROW'S	k.r.oʊ.z
CROWBAR	k.r.oʊ.b.ɑ.r
CROWBOROUGH	k.r.oʊ.b.ɚ.oʊ
CROWD	k.r.aʊ.d
CROWD'S	k.r.aʊ.d.z
CROWDED	k.r.aʊ.d.ʌ.d
CROWDED(1)	k.r.aʊ.d.ɪ.d
CROWDEN	k.r.aʊ.d.ʌ.n
CROWDER	k.r.aʊ.d.ɚ
CROWDING	k.r.aʊ.d.ɪ.ŋ
CROWDS	k.r.aʊ.d.z
CROWE	k.r.oʊ
CROWED	k.r.oʊ.d
CROWELL	k.r.oʊ.ʌ.l
CROWING	k.r.oʊ.ɪ.ŋ
CROWKEEPER	k.r.oʊ.k.i.p.ɚ
CROWKEEPERS	k.r.oʊ.k.i.p.ɚ.z
CROWL	k.r.aʊ.l
CROWLE	k.r.aʊ.l
CROWLEY	k.r.aʊ.l.i
CROWLEY'S	k.r.aʊ.l.i.z
CROWN	k.r.aʊ.n
CROWN'S	k.r.aʊ.n.z
CROWNE	k.r.aʊ.n
CROWNED	k.r.aʊ.n.d
CROWNER	k.r.aʊ.n.ɚ
CROWNING	k.r.aʊ.n.ɪ.ŋ
CROWNLIKE	k.r.aʊ.n.l.aɪ.k
CROWNOVER	k.r.aʊ.n.oʊ.v.ɚ
CROWNS	k.r.aʊ.n.z
CROWNX	k.r.aʊ.n.ɛ.k.s
CROWS	k.r.oʊ.z
CROWSON	k.r.aʊ.s.ʌ.n
CROWTHER	k.r.aʊ.ð.ɚ
CROWTHER'S	k.r.oʊ.θ.ɚ.z
CROWTHERS	k.r.oʊ.θ.ɚ.z
CROXTON	k.r.ɑ.k.s.t.ʌ.n
CROY	k.r.ɔɪ
CROYLE	k.r.ɔɪ.l
CROZIER	k.r.oʊ.ʒ.ɚ
CRUCE	k.r.u.s
CRUCES	k.r.u.s.i.z
CRUCIAL	k.r.u.ʃ.ʌ.l
CRUCIALLY	k.r.u.ʃ.ʌ.l.i
CRUCIBLE	k.r.u.s.ʌ.b.ʌ.l
CRUCIFIED	k.r.u.s.ʌ.f.aɪ.d
CRUCIFIX	k.r.u.s.ʌ.f.ɪ.k.s
CRUCIFIXES	k.r.u.s.ʌ.f.ɪ.k.s.ɪ.z
CRUCIFIXION	k.r.u.s.ɪ.f.ɪ.k.ʃ.ʌ.n
CRUCIFY	k.r.u.s.ʌ.f.aɪ
CRUD	k.r.ʌ.d
CRUDDY	k.r.ʌ.d.i
CRUDE	k.r.u.d
CRUDE'S	k.r.u.d.z
CRUDELE	k.r.u.d.ʌ.l
CRUDELY	k.r.u.d.l.i
CRUDES	k.r.u.d.z
CRUDUP	k.r.ʌ.d.ʌ.p
CRUEA	k.r.u.i.ʌ
CRUEL	k.r.u.ʌ.l
CRUEL(1)	k.r.u.l
CRUELEST	k.r.u.l.ʌ.s.t
CRUELLY	k.r.u.l.i
CRUELTIES	k.r.u.l.t.i.z
CRUELTIES(1)	k.r.u.ʌ.l.t.i.z
CRUELTY	k.r.u.l.t.i
CRUELTY(1)	k.r.u.ʌ.l.t.i
CRUEY	k.r.ʌ.i
CRUGER	k.r.u.dʒ.ɚ
CRUICKSHANK	k.r.ʊ.k.ʃ.æ.ŋ.k
CRUIKSHANK	k.r.u.ɪ.k.ʃ.æ.ŋ.k
CRUISE	k.r.u.z
CRUISED	k.r.u.z.d
CRUISER	k.r.u.z.ɚ
CRUISER'S	k.r.u.z.ɚ.z
CRUISERS	k.r.u.z.ɚ.z
CRUISES	k.r.u.z.ɪ.z
CRUISING	k.r.u.z.ɪ.ŋ
CRULL	k.r.ʌ.l
CRUM	k.r.ʌ.m
CRUMB	k.r.ʌ.m
CRUMBAUGH	k.r.ʌ.m.b.ɔ
CRUMBLE	k.r.ʌ.m.b.ʌ.l
CRUMBLED	k.r.ʌ.m.b.ʌ.l.d
CRUMBLES	k.r.ʌ.m.b.ʌ.l.z
CRUMBLEY	k.r.ʌ.m.b.l.i
CRUMBLING	k.r.ʌ.m.b.ʌ.l.ɪ.ŋ
CRUMBLING(1)	k.r.ʌ.m.b.l.ɪ.ŋ
CRUMBS	k.r.ʌ.m.z
CRUMBY	k.r.ʌ.m.b.i
CRUME	k.r.u.m
CRUMITIE	k.r.u.m.ɪ.t.i
CRUMLEY	k.r.ʌ.m.l.i
CRUMLY	k.r.ʌ.m.l.i
CRUMM	k.r.ʌ.m
CRUMMETT	k.r.ʌ.m.ɪ.t
CRUMMEY	k.r.ʌ.m.i
CRUMMY	k.r.ʌ.m.i
CRUMP	k.r.ʌ.m.p
CRUMPACKER	k.r.ʌ.m.p.ʌ.k.ɚ
CRUMPLE	k.r.ʌ.m.p.ʌ.l
CRUMPLED	k.r.ʌ.m.p.ʌ.l.d
CRUMPLER	k.r.ʌ.m.p.ʌ.l.ɚ
CRUMPLER(1)	k.r.ʌ.m.p.l.ɚ
CRUMPTON	k.r.ʌ.m.p.t.ʌ.n
CRUMRINE	k.r.ʌ.m.r.i.n
CRUNCH	k.r.ʌ.n.tʃ
CRUNCHED	k.r.ʌ.n.tʃ.t
CRUNCHER	k.r.ʌ.n.tʃ.ɚ
CRUNCHERS	k.r.ʌ.n.tʃ.ɚ.z
CRUNCHES	k.r.ʌ.n.tʃ.ɪ.z
CRUNCHING	k.r.ʌ.n.tʃ.ɪ.ŋ
CRUNCHY	k.r.ʌ.n.tʃ.i
CRUNK	k.r.ʌ.ŋ.k
CRUNKLETON	k.r.ʌ.ŋ.k.ʌ.l.t.ɑ.n
CRUPI	k.r.u.p.i
CRUSADE	k.r.u.s.eɪ.d
CRUSADER	k.r.u.s.eɪ.d.ɚ
CRUSADERS	k.r.u.s.eɪ.d.ɚ.z
CRUSADES	k.r.u.s.eɪ.d.z
CRUSADING	k.r.u.s.eɪ.d.ɪ.ŋ
CRUSAN	k.r.u.z.ʌ.n
CRUSE	k.r.u.z
CRUSER	k.r.u.z.ɚ
CRUSH	k.r.ʌ.ʃ
CRUSHED	k.r.ʌ.ʃ.t
CRUSHER	k.r.ʌ.ʃ.ɚ
CRUSHERS	k.r.ʌ.ʃ.ɚ.z
CRUSHES	k.r.ʌ.ʃ.ɪ.z
CRUSHING	k.r.ʌ.ʃ.ɪ.ŋ
CRUSOE	k.r.u.s.oʊ
CRUST	k.r.ʌ.s.t
CRUSTACEAN	k.r.ʌ.s.t.eɪ.ʃ.ʌ.n
CRUSTACEANS	k.r.ʌ.s.t.eɪ.ʃ.ʌ.n.z
CRUSTACEOUS	k.r.ʌ.s.t.eɪ.ʃ.ʌ.s
CRUSTAL	k.r.ʌ.s.t.ʌ.l
CRUSTED	k.r.ʌ.s.t.ɪ.d
CRUSTS	k.r.ʌ.s.t.s
CRUSTY	k.r.ʌ.s.t.i
CRUTCH	k.r.ʌ.tʃ
CRUTCHER	k.r.ʌ.tʃ.ɚ
CRUTCHES	k.r.ʌ.tʃ.ɪ.z
CRUTCHFIELD	k.r.ʌ.tʃ.f.i.l.d
CRUTCHFIELD'S	k.r.ʌ.tʃ.f.i.l.d.z
