Orthography	Transcription
BASSIR	b.ʌ0.s.ɪ1.ɹ
BASSIR'S	b.ʌ0.s.ɪ1.ɹ.z
BASSIST	b.eɪ1.s.ɪ0.s.t
BASSISTS	b.eɪ1.s.ɪ0.s.t.s
BASSLER	b.æ1.s.l.ɚ0
BASSMAN	b.æ1.s.m.ʌ0.n
BASSO	b.æ1.s.oʊ0
BASSOON	b.ʌ0.s.u1.n
BAST	b.æ1.s.t
BASTA	b.æ1.s.t.ʌ0
BASTARACHE	b.ɑ0.s.t.ɑ1.ɹ.eɪ0.k
BASTARD	b.æ1.s.t.ɚ0.d
BASTARD'S	b.æ1.s.t.ɚ0.d.z
BASTARDS	b.æ1.s.t.ɚ0.d.z
BASTE	b.eɪ1.s.t
BASTED	b.eɪ1.s.t.ʌ0.d
BASTEDO	b.ɑ0.s.t.eɪ1.d.oʊ0
BASTEN	b.eɪ1.s.t.ʌ0.n
BASTIAN	b.æ1.s.tʃ.ɪ0.n
BASTIEN	b.æ1.s.t.ʌ0.n
BASTILLE	b.æ1.s.t.ɪ0.l
BASTILLE(1)	b.æ2.s.t.ɪ1.l
BASTIN	b.æ1.s.t.ɪ0.n
BASTING	b.eɪ1.s.t.ɪ0.ŋ
BASTION	b.æ1.s.tʃ.ʌ0.n
BASTIONS	b.æ1.s.tʃ.ʌ0.n.z
BASTOGNE	b.æ2.s.t.oʊ1.n
BASTOGNE'S	b.æ2.s.t.oʊ1.n.z
BASTON	b.æ1.s.t.ʌ0.n
BASTONE	b.ɑ1.s.t.oʊ0.n
BASTOW	b.æ1.s.t.oʊ0
BASTYR	b.eɪ1.s.t.ɪ0.ɹ
BASU	b.ɑ1.s.u0
BASULTO	b.ʌ0.s.ʌ1.l.t.oʊ0
BASURTO	b.ɑ0.s.ʊ1.ɹ.t.oʊ0
BASWELL	b.æ1.s.w.ɛ0.l
BASYE	b.æ1.s.aɪ0
BAT	b.æ1.t
BATAAN	b.ʌ0.t.ɑ1.n
BATAN	b.eɪ1.t.ʌ0.n
BATAT	b.ʌ0.t.ɑ1.t
BATAVIA	b.ʌ0.t.eɪ1.v.i0.ʌ0
BATAVIA(1)	b.ʌ0.t.æ1.v.i0.ʌ0
BATBOY	b.æ1.t.b.ɔɪ0
BATBOYS	b.æ1.t.b.ɔɪ0.z
BATCH	b.æ1.tʃ
BATCHELDER	b.æ1.tʃ.ɛ2.l.d.ɚ0
BATCHELLER	b.æ1.tʃ.ʌ0.l.ɚ0
BATCHELOR	b.æ1.tʃ.ʌ0.l.ɚ0
BATCHES	b.æ1.tʃ.ʌ0.z
BATCHES(1)	b.æ1.tʃ.ɪ0.z
BATDORF	b.æ1.t.d.ɔ0.ɹ.f
BATE	b.eɪ1.t
BATED	b.eɪ1.t.ɪ0.d
BATEMAN	b.eɪ1.t.m.ʌ0.n
BATES	b.eɪ1.t.s
BATES'	b.eɪ1.t.s
BATESON	b.æ1.t.ɪ0.s.ʌ0.n
BATESON(1)	b.eɪ1.t.s.ʌ0.n
BATESON(2)	b.æ1.t.s.ʌ0.n
BATESVILLE	b.eɪ1.t.s.v.ɪ2.l
BATEY	b.eɪ1.t.i0
BATH	b.æ1.θ
BATHE	b.eɪ1.ð
BATHED	b.eɪ1.ð.d
BATHER	b.eɪ1.ð.ɚ0
BATHER(1)	b.æ1.ð.ɚ0
BATHERS	b.eɪ1.ð.ɚ0.z
BATHERS(1)	b.æ1.ð.ɚ0.z
BATHES	b.eɪ1.ð.z
BATHGATE	b.æ1.θ.g.eɪ2.t
BATHING	b.eɪ1.ð.ɪ0.ŋ
BATHKE	b.æ1.θ.k
BATHOLITH	b.æ1.θ.ʌ0.l.ɪ0.θ
BATHOLITHS	b.æ1.θ.ʌ0.l.ɪ0.θ.s
BATHRICK	b.æ1.θ.ɹ.ɪ0.k
BATHROBE	b.æ1.θ.ɹ.oʊ2.b
BATHROBES	b.æ1.θ.ɹ.oʊ2.b.z
BATHROOM	b.æ1.θ.ɹ.u2.m
BATHROOMS	b.æ1.θ.ɹ.u2.m.z
BATHROOMS(1)	b.ɑ1.θ.ɹ.u2.m.z
BATHS	b.æ1.θ.s
BATHSHEBA	b.æ0.θ.ʃ.i1.b.ʌ0
BATHTUB	b.æ1.θ.t.ʌ0.b
BATHTUBS	b.æ1.θ.t.ʌ2.b.z
BATHURST	b.æ1.θ.ɚ0.s.t
BATHURST'S	b.æ1.θ.ɚ0.s.t.s
BATIBOT	b.æ1.t.ɪ0.b.ɑ0.t
BATIE	b.eɪ1.t.i0
BATIGNOLLES	b.æ2.t.ɪ0.n.j.oʊ1.l.ʌ0.s
BATIK	b.ʌ0.t.i1.k
BATIKS	b.æ1.t.ɪ0.k.s
BATIKS(1)	b.ʌ0.t.i1.k.s
BATISTA	b.ʌ0.t.ɪ1.s.t.ɑ0
BATISTA'S	b.ʌ0.t.ɪ1.s.t.ɑ0.z
BATISTE	b.ʌ0.t.ɪ1.s.t.ʌ0
BATLEY	b.æ1.t.l.i0
BATMAN	b.æ1.t.m.æ2.n
BATOGOWSKI	b.æ2.t.oʊ0.g.aʊ1.s.k.i0
BATON	b.ʌ0.t.ɑ1.n
BATON(1)	b.æ1.t.ɑ2.n
BATON(2)	b.æ1.t.ʌ0.n
BATON-ROUGE	b.æ1.t.ʌ0.n.ɹ.u1.dʒ
BATON-ROUGE'S	b.æ1.t.ʌ0.n.ɹ.u1.dʒ.ɪ0.z
BATONS	b.æ0.t.ɑ1.n.z
BATOR	b.ɑ0.t.ɔ1.ɹ
BATRA	b.æ1.t.ɹ.ʌ0
BATRES	b.eɪ1.t.ɚ0.z
BATS	b.æ1.t.s
BATSON	b.æ1.t.s.ʌ0.n
BATSON'S	b.æ1.t.s.ʌ0.n.z
BATT	b.æ1.t
BATTAGLIA	b.ɑ0.t.ɑ1.g.l.i0.ʌ0
BATTAGLINI	b.ɑ0.t.ɑ0.g.l.i1.n.i0
BATTALION	b.ʌ0.t.æ1.l.j.ʌ0.n
BATTALIONS	b.ʌ0.t.æ1.l.j.ʌ0.n.z
BATTE	b.æ1.t
BATTED	b.æ1.t.ɪ0.d
BATTELLE	b.ʌ0.t.ɛ1.l
BATTELLE'S	b.ʌ0.t.ɛ1.l.z
BATTEN	b.æ1.t.ʌ0.n
BATTENBERG	b.æ1.t.ʌ0.n.b.ɚ2.g
BATTENFIELD	b.æ1.t.ʌ0.n.f.i2.l.d
BATTENING	b.æ1.t.ʌ0.n.ɪ0.ŋ
BATTER	b.æ1.t.ɚ0
BATTERED	b.æ1.t.ɚ0.d
BATTERER	b.æ1.t.ɚ0.ɚ0
BATTERERS	b.æ1.t.ɚ0.ɚ0.z
BATTERIES	b.æ1.t.ɚ0.i0.z
BATTERING	b.æ1.t.ɚ0.ɪ0.ŋ
BATTERMAN	b.æ1.t.ɚ0.m.ʌ0.n
BATTERS	b.æ1.t.ɚ0.z
BATTERSBY	b.æ1.t.ɚ0.s.b.i0
BATTERSEA	b.æ1.t.ɚ0.s.i2
BATTERSON	b.æ1.t.ɚ0.s.ʌ0.n
BATTERY	b.æ1.t.ɚ0.i0
BATTERYMARCH	b.ʌ0.t.ɛ1.ɹ.i0.m.ɑ0.ɹ.tʃ
BATTEY	b.æ1.t.i0
BATTIATO	b.ɑ0.t.i0.ɑ1.t.oʊ0
BATTICALOA	b.æ2.t.ɪ0.k.ʌ0.l.oʊ1.ʌ0
BATTIN	b.æ1.t.ɪ0.n
BATTING	b.æ1.t.ɪ0.ŋ
BATTIPAGLIA	b.æ2.t.ɪ0.p.æ1.g.l.i0.ʌ0
BATTIS	b.æ1.t.ɪ0.s
BATTISON	b.æ1.t.ɪ0.s.ʌ0.n
BATTISTA	b.ʌ0.t.i1.s.t.ʌ0
BATTISTE	b.ɑ0.t.i1.s.t.i0
BATTISTI	b.ɑ0.t.i1.s.t.i0
BATTISTONI	b.ɑ0.t.i0.s.t.oʊ1.n.i0
BATTLE	b.æ1.t.ʌ0.l
BATTLE'S	b.æ1.t.ʌ0.l.z
BATTLED	b.æ1.t.ʌ0.l.d
BATTLEFIELD	b.æ1.t.ʌ0.l.f.i2.l.d
BATTLEFIELDS	b.æ1.t.ʌ0.l.f.i2.l.d.z
BATTLEFRONT	b.æ1.t.ʌ0.l.f.ɹ.ʌ2.n.t
BATTLEGROUND	b.æ1.t.ʌ0.l.g.ɹ.aʊ2.n.d
BATTLEGROUNDS	b.æ1.t.ʌ0.l.g.ɹ.aʊ2.n.d.z
BATTLEMENT	b.æ1.t.ʌ0.l.m.ʌ0.n.t
BATTLEMENT(1)	b.æ1.t.ʌ0.l.m.ɛ0.n.t
BATTLEMENTS	b.æ1.t.ʌ0.l.m.ʌ0.n.t.s
BATTLES	b.æ1.t.ʌ0.l.z
BATTLESHIP	b.æ1.t.ʌ0.l.ʃ.ɪ2.p
BATTLESHIPS	b.æ1.t.ʌ0.l.ʃ.ɪ2.p.s
BATTLING	b.æ1.t.ʌ0.l.ɪ0.ŋ
BATTLING(1)	b.æ1.t.l.ɪ0.ŋ
BATTON	b.æ1.t.ʌ0.n
BATTS	b.æ1.t.s
BATTY	b.æ1.t.i0
BATUIGAS	b.æ2.tʃ.u0.i1.g.ʌ0.s
BATUS	b.æ1.t.ʌ0.s
BATUS(1)	b.ɔ1.t.ʌ0.s
BATY	b.eɪ1.t.i0
BATZ	b.æ1.t.s
BATZEL	b.æ1.t.z.ʌ0.l
BATZER	b.eɪ1.t.z.ɚ0
BAUBLE	b.ɔ1.b.ʌ0.l
BAUBLES	b.ɔ1.b.ʌ0.l.z
BAUBLITZ	b.aʊ1.b.l.ɪ0.t.s
BAUCH	b.ɔ1.tʃ
BAUCOM	b.oʊ0.k.ɑ1.m
BAUCUM	b.oʊ0.k.ʌ1.m
BAUCUS	b.ɑ1.k.ʌ0.s
BAUCUS(1)	b.æ1.k.ʌ0.s
BAUD	b.ɔ1.d
BAUDENDISTEL	b.aʊ1.d.ɪ0.n.d.ɪ0.s.t.ʌ0.l
BAUDER	b.aʊ1.d.ɚ0
BAUDOIN	b.oʊ2.d.ɔɪ1.n
BAUDOUIN	b.ɔ0.d.u1.ɪ0.n
BAUER	b.aʊ1.ɚ0
BAUERLE	b.aʊ1.ɚ0.ʌ0.l
BAUERLEIN	b.aʊ1.ɚ0.l.aɪ0.n
BAUERMEISTER	b.aʊ1.ɚ0.m.aɪ0.s.t.ɚ0
BAUERNFEIND	b.aʊ1.ɚ0.n.f.aɪ0.n.d
BAUERS	b.aʊ1.ɚ0.z
BAUGH	b.ɔ1
BAUGHAN	b.ɔ1.ʌ0.n
BAUGHER	b.ɔ1.ɚ0
BAUGHMAN	b.ɔ1.m.ʌ0.n
BAUGHN	b.ɔ1.n
BAUGUESS	b.aʊ1.g.ɪ0.s
BAUGUS	b.ɔ1.g.ʌ0.s
BAUKNECHT	b.aʊ1.k.n.ɪ0.k.t
BAUKNIGHT	b.ɔ1.k.n.aɪ2.t
BAUM	b.ɔ1.m
BAUM(1)	b.aʊ1.m
BAUMAN	b.aʊ1.m.ʌ0.n
BAUMANN	b.aʊ1.m.ʌ0.n
BAUMBACH	b.aʊ1.m.b.ɑ2.k
BAUMBERGER	b.aʊ1.m.b.ɚ0.g.ɚ0
BAUMBERGER(1)	b.ɑ1.m.b.ɚ0.g.ɚ0
BAUMEISTER	b.aʊ1.m.aɪ2.s.t.ɚ0
BAUMEL	b.aʊ1.m.ʌ0.l
BAUMER	b.aʊ1.m.ɚ0
BAUMERT	b.aʊ1.m.ɚ0.t
BAUMGARD	b.aʊ1.m.g.ɚ0.d
BAUMGARD(1)	b.ɑ1.m.g.ɚ0.d
BAUMGARDNER	b.aʊ1.m.g.ɑ2.ɹ.d.n.ɚ0
BAUMGARDNER(1)	b.ɑ1.m.g.ɑ2.ɹ.d.n.ɚ0
BAUMGARDT	b.aʊ1.m.g.ɑ2.ɹ.t
BAUMGARDT(1)	b.ɑ1.m.g.ɑ2.ɹ.t
BAUMGARNER	b.aʊ1.m.g.ɑ2.ɹ.n.ɚ0
BAUMGARNER(1)	b.ɑ1.m.g.ɑ2.ɹ.n.ɚ0
BAUMGART	b.aʊ1.m.g.ɑ2.ɹ.t
BAUMGART(1)	b.ɑ1.m.g.ɑ2.ɹ.t
BAUMGARTEN	b.aʊ1.m.g.ɑ0.ɹ.t.ʌ0.n
BAUMGARTEN(1)	b.ɑ1.m.g.ɑ0.ɹ.t.ʌ0.n
BAUMGARTNER	b.aʊ1.m.g.ɑ2.ɹ.t.n.ɚ0
BAUMGARTNER(1)	b.ɑ1.m.g.ɑ2.ɹ.t.n.ɚ0
BAUMHARDT	b.aʊ1.m.h.ɑ2.ɹ.t
BAUMHARDT(1)	b.ɑ1.m.h.ɑ2.ɹ.t
BAUMHAUER	b.ɑ1.m.h.aʊ0.ɚ0
BAUMHAUER(1)	b.aʊ1.m.h.aʊ0.ɚ0
BAUMHOLDER	b.ɑ1.m.h.ɔ2.l.d.ɚ0
BAUMHOLDER(1)	b.aʊ1.m.h.ɔ2.l.d.ɚ0
BAUMLER	b.aʊ1.m.ʌ0.l.ɚ0
BAUMLER(1)	b.ɑ1.m.ʌ0.l.ɚ0
BAUMLER(2)	b.ɑ1.m.l.ɚ0
BAUMSTARK	b.aʊ1.m.s.t.ɑ2.ɹ.k
BAUMSTARK(1)	b.ɑ1.m.s.t.ɑ2.ɹ.k
BAUN	b.ɔ1.n
BAUR	b.ɔ1.ɹ
BAUR(1)	b.aʊ1.ɚ0
BAUS	b.ɔ1.z
BAUSCH	b.aʊ1.ʃ
BAUSERMAN	b.aʊ1.s.ɚ0.m.ʌ0.n
BAUSMAN	b.aʊ1.s.m.ʌ0.n
BAUTCH	b.aʊ1.tʃ
BAUTISTA	b.ɔ0.t.i1.s.t.ʌ0
BAUTZ	b.ɔ1.t.s
BAUTZER	b.aʊ1.t.s.ɚ0
BAUWENS	b.aʊ1.w.ʌ0.n.z
BAUXITE	b.ɔ1.k.s.aɪ0.t
BAUZA	b.aʊ1.z.ʌ0
BAVA	b.ɑ1.v.ʌ0
BAVADRA	b.ʌ0.v.æ1.d.ɹ.ʌ0
BAVARIA	b.ʌ0.v.ɛ1.ɹ.i0.ʌ0
BAVARIA'S	b.ʌ0.v.ɛ1.ɹ.i0.ʌ0.z
BAVARIAN	b.ʌ0.v.ɛ1.ɹ.i0.ʌ0.n
BAVARO	b.ɑ0.v.ɑ1.ɹ.oʊ0
BAVER	b.eɪ1.v.ɚ0
BAVIS	b.eɪ1.v.ɪ0.s
BAWD	b.ɔ1.d
BAWDEN	b.ɔ1.d.ʌ0.n
BAWDY	b.ɔ1.d.i0
BAWER	b.ɔ1.ɚ0
BAWL	b.ɔ1.l
BAWLED	b.ɔ1.l.d
BAWLS	b.ɔ1.l.z
BAX	b.æ1.k.s
BAXA	b.æ1.k.s.ʌ0
BAXENDALE	b.æ1.k.s.ʌ0.n.d.eɪ0.l
BAXLEY	b.æ1.k.s.l.i0
BAXT	b.æ1.k.s.t
BAXTER	b.æ1.k.s.t.ɚ0
BAXTER'S	b.æ1.k.s.t.ɚ0.z
BAY	b.eɪ1
BAY'S	b.eɪ1.z
BAY-AREA	b.eɪ2.ɛ1.ɹ.i0.ʌ0
BAYANJOU	b.aɪ0.æ1.n.dʒ.u0
BAYAR	b.eɪ1.ɚ0
BAYARD	b.eɪ1.ɚ0.d
BAYBANK	b.eɪ1.b.æ2.ŋ.k
BAYBANK'S	b.eɪ1.b.æ2.ŋ.k.s
BAYBANKS	b.eɪ1.b.æ2.ŋ.k.s
BAYDHABO	b.eɪ0.d.ɑ1.b.oʊ0
BAYE	b.eɪ1
BAYED	b.eɪ1.d
BAYER	b.eɪ1.ɚ0
BAYER'S	b.eɪ1.ɚ0.z
BAYERISCHE	b.eɪ2.ɚ0.i1.ʃ
BAYERS	b.eɪ1.ɚ0.z
BAYES	b.eɪ1.z
BAYH	b.eɪ1
BAYING	b.eɪ1.ɪ0.ŋ
BAYLE	b.eɪ1.l
BAYLEE	b.eɪ1.l.i0
BAYLEN	b.eɪ1.l.ʌ0.n
BAYLES	b.eɪ1.l.z
BAYLESS	b.eɪ1.l.ɪ0.s
BAYLEY	b.eɪ1.l.i0
BAYLIFF	b.eɪ1.l.ɪ0.f
BAYLINER	b.eɪ1.l.aɪ2.n.ɚ0
BAYLIS	b.eɪ1.l.ɪ0.s
BAYLISS	b.eɪ1.l.ɪ0.s
BAYLON	b.eɪ1.l.ɑ0.n
BAYLOR	b.eɪ1.l.ɚ0
BAYLY	b.eɪ1.l.i0
BAYMAN	b.eɪ1.m.ʌ0.n
BAYNARD	b.eɪ1.n.ɚ0.d
BAYNE	b.eɪ1.n
BAYNES	b.eɪ1.n.z
BAYNHAM	b.eɪ1.n.h.ʌ0.m
BAYOG	b.eɪ1.ɑ2.g
BAYONET	b.eɪ1.ʌ0.n.ɛ2.t
BAYONETS	b.eɪ1.ʌ0.n.ɛ2.t.s
BAYONNE	b.eɪ2.j.oʊ1.n
BAYOU	b.aɪ1.u0
BAYOUS	b.aɪ1.u0.z
BAYOUTH	b.aɪ1.u0.θ
BAYREUTH	b.eɪ1.ɹ.ɔɪ2.θ
BAYS	b.eɪ1.z
BAYSE	b.eɪ1.z
BAYSIDE	b.eɪ1.s.aɪ2.d
BAYSINGER	b.eɪ1.s.ɪ0.n.dʒ.ɚ0
BAYTOWN	b.eɪ1.t.aʊ2.n
BAYTREE	b.eɪ1.t.ɹ.i2
BAYTREE'S	b.eɪ1.t.ɹ.i2.z
BAYUK	b.eɪ1.ʌ0.k
BAYUL	b.eɪ1.ʌ0.l
BAYUS	b.eɪ1.ʌ0.s
BAYWATCH	b.eɪ1.w.ɑ0.tʃ
BAZ	b.æ1.z
BAZAAR	b.ʌ0.z.ɑ1.ɹ
BAZAARS	b.ʌ0.z.ɑ1.ɹ.z
BAZAN	b.eɪ1.z.ʌ0.n
BAZAR	b.ʌ0.z.ɑ1.ɹ
BAZE	b.eɪ1.z
BAZEMORE	b.ɑ1.z.m.ɔ0.ɹ
BAZHAN	b.æ1.z.ʌ0.n
BAZILE	b.ɑ1.z.aɪ0.l
BAZILE(1)	b.ɑ1.z.i0.l
BAZINET	b.æ1.z.ɪ0.n.ɛ0.t
BAZOOKA	b.ʌ0.z.u1.k.ʌ0
BAZOOKAS	b.ʌ0.z.u1.k.ʌ0.z
BAZZANO	b.ɑ0.t.s.ɑ1.n.oʊ0
BAZZELL	b.æ1.z.ʌ0.l
BAZZLE	b.æ1.z.ʌ0.l
BBC	b.i2.b.i0.s.i1
BBC'S	b.i2.b.i0.s.i1.s
BBQ	b.i1.b.i0.k.j.u2
BBQ(1)	b.ɑ1.ɹ.b.ɪ0.k.j.u2
BE	b.i1
BE(1)	b.i0
BE'S	b.i1.z
BEA	b.i1
BEABER	b.i1.b.ɚ0
BEABOUT	b.ʌ0.b.u1.t
BEACH	b.i1.tʃ
BEACH'S	b.i1.tʃ.ʌ0.z
BEACHAM	b.ʌ0.ʃ.æ1.m
BEACHAM(1)	b.i1.tʃ.ʌ0.m
BEACHBALL	b.i1.tʃ.b.ɑ2.l
BEACHBALLS	b.i1.tʃ.b.ɑ2.l.z
BEACHCOMBER	b.i1.tʃ.k.oʊ2.m.ɚ0
BEACHCOMBERS	b.i1.tʃ.k.oʊ2.m.ɚ0.z
BEACHED	b.i1.tʃ.t
BEACHEM	b.i1.k.ɪ0.m
BEACHER	b.i1.tʃ.ɚ0
BEACHES	b.i1.tʃ.ʌ0.z
BEACHES(1)	b.i1.tʃ.ɪ0.z
BEACHFRONT	b.i1.tʃ.f.ɹ.ɑ0.n.t
BEACHFRONTS	b.i1.tʃ.f.ɹ.ɑ0.n.t.s
BEACHHEAD	b.i1.tʃ.h.ɛ2.d
BEACHHEADS	b.i1.tʃ.h.ɛ2.d.z
BEACHING	b.i1.tʃ.ɪ0.ŋ
BEACHLER	b.i1.k.ʌ0.l.ɚ0
BEACHLER(1)	b.i1.tʃ.l.ɚ0
BEACHSIDE	b.i1.tʃ.s.aɪ2.d
BEACHUM	b.i1.tʃ.ʌ0.m
BEACHY	b.i1.tʃ.i0
BEACOM	b.i1.k.ʌ0.m
BEACON	b.i1.k.ʌ0.n
BEACONS	b.i1.k.ʌ0.n.z
BEAD	b.i1.d
BEADED	b.i1.d.ɪ0.d
BEADLE	b.i1.d.ʌ0.l
BEADLES	b.i1.d.ʌ0.l.z
BEADLING	b.i1.d.l.ɪ0.ŋ
BEADS	b.i1.d.z
BEADWORK	b.i1.d.w.ɚ2.k
BEADY	b.i1.d.i0
BEAGAN	b.ʌ0.g.æ1.n
BEAGEN	b.i1.g.ʌ0.n
BEAGLE	b.i1.g.ʌ0.l
BEAGLE'S	b.i1.g.ʌ0.l.z
BEAGLES	b.i1.g.ʌ0.l.z
BEAGLEY	b.i1.g.l.i0
BEAHAN	b.i1.h.ʌ0.n
BEAHM	b.i1.m
BEAIRD	b.ɪ1.ɹ.d
BEAK	b.i1.k
BEAKER	b.i1.k.ɚ0
BEAKLEY	b.i1.k.l.i0
BEAKLIKE	b.i1.k.l.aɪ2.k
BEAKMAN	b.i1.k.m.ʌ0.n
BEAKMAN'S	b.i1.k.m.ʌ0.n.z
BEAL	b.i1.l
BEALE	b.i1.l
BEALER	b.i1.l.ɚ0
BEALES	b.i1.l.z
BEALETON	b.i1.l.t.ʌ0.n
BEALL	b.i1.l
BEALS	b.i1.l.z
BEAM	b.i1.m
BEAM'S	b.i1.m.z
BEAMAN	b.i1.m.ʌ0.n
BEAMED	b.i1.m.d
BEAMER	b.i1.m.ɚ0
BEAMING	b.i1.m.ɪ0.ŋ
BEAMISH	b.i1.m.ɪ0.ʃ
BEAMON	b.i1.m.ʌ0.n
BEAMS	b.i1.m.z
BEAN	b.i1.n
BEAN'S	b.i1.n.z
BEANBLOSSOM	b.i1.n.b.l.ʌ0.s.ʌ0.m
BEANE	b.i1.n
BEANS	b.i1.n.z
BEANTOWN	b.i1.n.t.aʊ2.n
BEAR	b.ɛ1.ɹ
BEAR'S	b.ɛ1.ɹ.z
BEARA	b.ɛ1.ɹ.ʌ0
BEARABLE	b.ɛ1.ɹ.ʌ0.b.ʌ0.l
BEARABLY	b.ɛ1.ɹ.ʌ0.b.l.i0
BEARCE	b.ɚ1.s
BEARD	b.ɪ1.ɹ.d
BEARDED	b.ɪ1.ɹ.d.ʌ0.d
BEARDEN	b.ɪ1.ɹ.d.ʌ0.n
BEARDMORE	b.ɪ1.ɹ.d.m.ɔ2.ɹ
BEARDS	b.ɪ1.ɹ.d.z
BEARDSLEE	b.ɪ1.ɹ.d.z.l.i0
BEARDSLEY	b.ɪ1.ɹ.d.z.l.i0
BEARDSTOWN	b.ɪ1.ɹ.d.s.t.aʊ2.n
BEARE	b.ɪ1.ɹ
BEARER	b.ɛ1.ɹ.ɚ0
BEARERS	b.ɛ1.ɹ.ɚ0.z
BEARFIELD	b.ɚ1.f.i0.l.d
BEARING	b.ɛ1.ɹ.ɪ0.ŋ
BEARINGS	b.ɛ1.ɹ.ɪ0.ŋ.z
BEARISH	b.ɛ1.ɹ.ɪ0.ʃ
BEARISHLY	b.ɛ1.ɹ.ɪ0.ʃ.l.i0
BEARISHNESS	b.ɛ1.ɹ.ɪ0.ʃ.n.ʌ0.s
BEARMAN	b.ɛ1.ɹ.m.ʌ0.n
BEARS	b.ɛ1.ɹ.z
BEARS'	b.ɛ1.ɹ.z
BEARSE	b.ɚ1.s
BEARSS	b.ɚ1.s
BEARUP	b.ɛ1.ɹ.ʌ0.p
BEARY	b.ɪ1.ɹ.i0
BEAS	b.i1.z
BEASLEY	b.i1.z.l.i0
BEASON	b.i1.z.ʌ0.n
BEAST	b.i1.s.t
BEASTIE	b.i1.s.t.i0
BEASTLY	b.i1.s.t.l.i2
BEASTON	b.i1.s.t.ʌ0.n
BEASTS	b.i1.s.t.s
BEAT	b.i1.t
BEATA	b.i0.æ1.t.ʌ0
BEATEN	b.i1.t.ʌ0.n
BEATER	b.i1.t.ɚ0
BEATERS	b.i1.t.ɚ0.z
BEATIE	b.i1.t.i0
BEATIFIED	b.i0.æ1.t.ʌ0.f.aɪ2.d
BEATIFY	b.i0.æ1.t.ʌ0.f.aɪ2
BEATING	b.i1.t.ɪ0.ŋ
BEATINGS	b.i1.t.ɪ0.ŋ.z
BEATLE	b.i1.t.ʌ0.l
BEATLES	b.i1.t.ʌ0.l.z
BEATLES'	b.i1.t.ʌ0.l.z
BEATNIK	b.i1.t.n.ɪ0.k
BEATNIKS	b.i1.t.n.ɪ0.k.s
BEATO	b.i0.æ1.t.oʊ0
BEATON	b.i1.t.ʌ0.n
BEATRICE	b.i1.ʌ0.t.ɹ.ɪ0.s
BEATRICE'S	b.i1.ʌ0.t.ɹ.ɪ0.s.ɪ0.z
BEATRIX	b.i1.ʌ0.t.ɹ.ɪ0.k.s
BEATS	b.i1.t.s
BEATSON	b.i1.t.s.ʌ0.n
BEATTIE	b.i1.t.i0
BEATTY	b.i1.t.i0
BEATTY(1)	b.eɪ1.t.i0
BEATY	b.i1.t.i0
BEAU	b.oʊ1
BEAUBIEN	b.oʊ0.b.j.ɛ1.n
BEAUCAGE	b.oʊ1.k.eɪ2.dʒ
BEAUCE	b.oʊ1.s
BEAUCHAINE	b.oʊ2.ʃ.eɪ1.n
BEAUCHAMP	b.oʊ1.ʃ.ɑ2.m.p
BEAUCHEMIN	b.oʊ1.ʃ.ɪ0.m.æ0.n
BEAUCHENE	b.oʊ2.ʃ.eɪ1.n
BEAUCHESNE	b.oʊ0.ʃ.ɛ1.n
BEAUCOUP	b.oʊ2.k.u1
BEAUDET	b.oʊ0.d.ɛ1.t
BEAUDETTE	b.oʊ2.d.ɛ1.t
BEAUDIN	b.oʊ0.d.æ1.n
BEAUDOIN	b.oʊ0.d.ɔɪ1.n
BEAUDREAU	b.oʊ2.d.ɹ.oʊ1
BEAUDRY	b.oʊ0.d.ɹ.i1
BEAUFORD	b.oʊ0.f.ɔ1.ɹ.d
BEAUFORT	b.oʊ1.f.ɚ0.t
BEAUFRERE	b.oʊ2.f.ɹ.ɛ1.ɹ
BEAUJOLAIS	b.oʊ1.dʒ.oʊ0.l.eɪ2
BEAULAC	b.oʊ0.l.æ1.k
BEAULIEU	b.oʊ2.l.j.ʊ1
BEAUMIER	b.oʊ1.m.i0.ɚ0
BEAUMONT	b.oʊ1.m.ɔ0.n.t
BEAUPRE	b.oʊ0.p.ɹ.eɪ1
BEAUREGARD	b.oʊ1.ɹ.ɪ0.g.ɑ2.ɹ.d
BEAUREGARD(1)	b.ɔ1.ɹ.ɪ0.g.ɑ2.ɹ.d
BEAUSOLEIL	b.oʊ1.s.ʌ0.l.eɪ0
BEAUTICIAN	b.j.u1.t.ɪ2.ʃ.ʌ0.n
BEAUTIES	b.j.u1.t.i0.z
BEAUTIFUL	b.j.u1.t.ʌ0.f.ʌ0.l
BEAUTIFULLEST	b.j.u1.t.ʌ0.f.ʌ0.l.ʌ0.s.t
BEAUTIFULLEST(1)	b.j.u1.t.ʌ0.f.l.ʌ0.s.t
BEAUTIFULLY	b.j.u1.t.ʌ0.f.l.i0
BEAUTIFY	b.j.u1.t.ɪ0.f.aɪ2
BEAUTY	b.j.u1.t.i0
BEAUVAIS	b.oʊ0.v.eɪ1
BEAUX	b.oʊ1
BEAVAN	b.ɛ1.v.ʌ0.n
BEAVEN	b.i1.v.ʌ0.n
BEAVER	b.i1.v.ɚ0
BEAVERS	b.i1.v.ɚ0.z
BEAVERSON	b.i1.v.ɚ0.s.ʌ0.n
BEAVERTON	b.i1.v.ɚ0.t.ʌ0.n
BEAVIN	b.i1.v.ɪ0.n
BEAVIS	b.i1.v.ʌ0.s
BEAZER	b.i1.z.ɚ0
BEAZLEY	b.i1.z.l.i2
BEBB	b.ɛ1.b
